Epochs,Training Loss,Validation Loss
121,0.0017741982592269778,0.0009411216014996171
122,0.001756001147441566,0.0009629309643059969
123,0.0017622651066631079,0.001216550124809146
124,0.0017966937739402056,0.0008799087954685092
125,0.0017807520925998688,0.0008177267736755311
126,0.0016797954449430108,0.0009428089833818376
127,0.0017705796053633094,0.0008019259548746049
128,0.0017201777081936598,0.001185923465527594
129,0.0017130032647401094,0.00080019113374874
130,0.0016872448613867164,0.0010548920836299658
131,0.0016512651927769184,0.0007625336293131113
132,0.0016653431812301278,0.0008278921013697982
133,0.0016128731658682227,0.0008555385866202414
134,0.0016086959512904286,0.0008318813052028418
135,0.0015965279890224338,0.0009435113170184195
136,0.0015941450837999582,0.0007593427435494959
137,0.0016423336928710341,0.000732225482352078
138,0.0015837748069316149,0.000989958643913269
139,0.0015680105425417423,0.0007034264272078872
140,0.0016001040348783135,0.0008532339124940336
141,0.0015640112105756998,0.000734229979570955
142,0.0015265537658706307,0.0006829072954133153
143,0.0015565459616482258,0.0007121007656678557
144,0.001557844690978527,0.0006879317807033658
145,0.001560866367071867,0.0007169126183725893
146,0.001605024328455329,0.0006695992196910083
147,0.0014867204008623958,0.0006588835967704654
148,0.001481907325796783,0.000656331074424088
149,0.0015039372956380248,0.0006894213729538023
150,0.0015838086837902665,0.0006246485281735659
