trade_date,Open,Close,High,Low,Volume,CPI,PPI,PMI,Close_Trend,Close_Seasonal,Close_Residual,CPI_Trend,CPI_Cycle,PPI_Trend,PPI_Cycle,PMI_Trend,PMI_Cycle,Log_Return,Daily_PCT_Change,Volume_Change,Volume_Zscore,Volume_Anomaly_Zscore,Volume_outlier,Volume_corrected,Mean,EMA,Volatility,Long_Mean,Long_Volatility,CPI_Volatility,PPI_Volatility,PMI_Volatility,CPI_MoM,PPI_MoM,PMI_MoM,Lag_22,Lag_60,Return,Economic_Expansion,PMI_Price_Corr
2000-03-20,4252.170,4367.73,4370.680,4231.790,18287662.0,101.90,101.00,54.7,0.0,1.0050176076414332,0.0,101.96825582495157,-0.06825582495156368,100.96754901573448,0.032450984265523175,54.6999999999572,4.2803094402188435e-11,0.012146098809885533,1.2220162224797049,0.1839155675474251,-0.7969139932923506,0,False,18287662.0,4365.5495,4318.766591475954,134.03618869053486,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4313.97,0.0,1.2220162224797049,1,0.0
2000-03-21,4362.090,4387.27,4406.870,4350.320,17948824.0,101.90,101.00,54.7,0.0,1.009122348121702,0.0,101.97228917628027,-0.07228917628026466,100.96556118370572,0.03443881629428347,54.69999999996088,3.9122483030951116e-11,0.0044637424202230115,0.4473719758318673,-0.018528229579046207,-0.7987288013725282,0,False,17948824.0,4375.5779999999995,4325.290725621101,127.28366950283032,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4356.6,0.0,0.4473719758318673,1,0.0
2000-03-22,4394.230,4439.09,4479.900,4384.680,17612100.0,101.90,101.00,54.7,0.0,1.0159404888770007,0.0,101.97624190828608,-0.0762419082860788,100.963602751022,0.03639724897800534,54.699999999964525,3.54773987965018e-11,0.01174223471754158,1.1811445386310737,-0.01876022629672003,-0.8005322869201639,0,False,17612100.0,4393.909,4336.128751752425,105.94445445858312,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4344.49,0.0,1.1811445386310737,1,0.0
2000-03-23,4446.450,4492.43,4492.910,4381.960,19416514.0,101.90,101.00,54.7,0.0,1.01666574016602,0.0,101.98006774765344,-0.08006774765343039,100.96169518588232,0.03830481411768005,54.69999999996811,3.18962634082709e-11,0.011944357546379061,1.2015976247384152,0.10245308623048932,-0.7908678894582921,0,False,19416514.0,4407.4385,4351.014584918861,99.92050009751416,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4186.7,0.0,1.2015976247384152,1,0.0
2000-03-24,4515.380,4461.66,4580.680,4455.650,24326216.0,101.90,101.00,54.7,0.0,1.0131072916618846,0.0,101.98371512648976,-0.08371512648974999,100.95986248407239,0.04013751592761139,54.699999999971595,2.8407498575688805e-11,-0.0068728639362671045,-0.6849299822145327,0.2528621770107651,-0.7645716450557623,0,False,24326216.0,4417.3805,4361.552243498017,94.52001004939281,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4072.47,0.0,-0.6849299822145327,1,0.0
2000-03-27,4461.670,4571.66,4574.230,4461.670,23733578.0,101.90,101.00,54.7,0.0,1.0121778579220277,0.0,101.98712691664221,-0.08712691664220529,100.95813130143445,0.0418686985655512,54.69999999997495,2.5053736862901133e-11,0.024355483369857885,2.4654500791185363,-0.024362112052281337,-0.7677457997580693,0,False,23733578.0,4421.8765,4381.562506022015,99.73711557864424,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4221.84,0.0,2.4654500791185363,1,0.0
2000-03-28,4615.470,4591.12,4635.660,4546.370,27039198.0,101.90,101.00,54.7,0.0,1.01190681912716,0.0,101.99024017640761,-0.09024017640760462,100.95653108113825,0.04346891886174831,54.69999999997815,2.1856294551980682e-11,0.004247625558755046,0.425665950661247,0.1392803057339269,-0.7500409795017908,0,False,27039198.0,4427.224499999999,4401.520362591347,105.92809331036261,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4262.82,0.0,0.425665950661247,1,0.0
2000-03-29,4612.880,4559.86,4629.550,4510.650,22084184.0,101.90,101.00,54.7,0.0,1.0102009084182355,0.0,101.99298591360235,-0.09298591360234809,100.95509417390207,0.04490582609793137,54.69999999998117,1.8829382497642655e-11,-0.006832081721166085,-0.6808796110753024,-0.18325299441203835,-0.776579913873359,0,False,22084184.0,4433.8575,4416.6003280588375,110.00160275746431,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4481.74,0.0,-0.6808796110753024,1,0.0
2000-03-30,4566.430,4580.82,4584.780,4539.330,27642120.0,101.90,101.00,54.7,0.0,1.0132852527787557,0.0,101.9952888693639,-0.09528886936389824,100.95385594911906,0.04614405088094031,54.69999999998396,1.6044054973463062e-11,0.004586100101180562,0.4596632352747765,0.25167042621995894,-0.7468117439458116,0,False,27642120.0,4440.7225,4432.240296815139,114.81535464319457,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4484.16,0.0,0.4596632352747765,1,0.0
2000-03-31,4578.610,4532.31,4578.610,4488.050,22513140.0,101.90,101.00,54.7,0.0,1.01126956913474,0.0,101.99706732747464,-0.0970673274746332,100.95285489464251,0.04714510535748673,54.69999999998646,1.354294454358751e-11,-0.010646278104047963,-1.058980706511048,-0.18554944410920726,-0.774282435978788,0,False,22513140.0,4442.9245,4441.770744737507,116.18933660987369,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4427.2,0.0,-1.058980706511048,1,0.0
2000-04-03,4523.910,4508.08,4551.080,4506.400,21198396.0,101.90,101.00,54.7,0.0,1.0080522115533048,0.0,101.99823295443433,-0.098232954434323,100.95213270277378,0.04786729722621885,54.699999999988634,1.1368683772161603e-11,-0.005360401048738967,-0.5346059735543363,-0.05839896167304959,-0.7813241728399579,0,False,21198396.0,4452.523,4448.085911905364,113.0486561804736,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4443.52,0.0,-0.5346059735543363,1,0.0
